country,total_revenue,total_orders,unique_customers,avg_order_value,pct_of_total_revenue
United Kingdom,16821180.04,36200,5336,464.67,85.53
EIRE,625037.53,594,5,1052.25,3.18
Netherlands,549773.41,216,22,2545.25,2.8
Germany,383419.24,756,107,507.17,1.95
France,311147.02,599,94,519.44,1.58
Australia,167800.01,89,15,1885.39,0.85
Spain,97994.5,147,41,666.63,0.5
Switzerland,94024.59,85,22,1106.17,0.48
Sweden,86319.14,99,19,871.91,0.44
Denmark,67422.69,42,12,1605.3,0.34
Belgium,56993.17,143,29,398.55,0.29
Portugal,47455.99,86,24,551.81,0.24
Channel Islands,44030.33,54,13,815.38,0.22
Japan,43023.91,33,10,1303.75,0.22
Norway,38575.36,39,12,989.11,0.2
Italy,28977.17,60,17,482.95,0.15
Finland,25243.34,55,14,458.97,0.13
Cyprus,24484.26,35,11,699.55,0.12
Austria,20297.01,40,13,507.43,0.1
Greece,18711.19,18,5,1039.51,0.1
Hong Kong,13666.45,9,0,1518.49,0.07
Singapore,13158.16,8,1,1644.77,0.07
Israel,11328.81,10,4,1132.88,0.06
Unspecified,10927.16,24,6,455.3,0.06
United Arab Emirates,10273.23,12,4,856.1,0.05
Poland,10214.29,28,6,364.8,0.05
USA,7920.01,16,8,495.0,0.04
Iceland,4921.53,8,1,615.19,0.03
Lithuania,4892.68,6,1,815.45,0.02
Malta,4757.34,7,2,679.62,0.02
Canada,4332.1,7,5,618.87,0.02
RSA,3369.03,3,2,1123.01,0.02
Bahrain,3109.79,10,2,310.98,0.02
Thailand,3070.54,2,1,1535.27,0.02
Lebanon,1905.58,2,1,952.79,0.01
Brazil,1411.87,2,2,705.93,0.01
Bermuda,1253.14,1,0,1253.14,0.01
European Community,1159.25,3,1,386.42,0.01
Korea,1118.51,2,2,559.25,0.01
Czech Republic,786.74,2,1,393.37,0.0
West Indies,536.41,1,1,536.41,0.0
Saudi Arabia,145.92,1,1,145.92,0.0
Nigeria,140.39,2,1,70.19,0.0
