invoice_year_month,total_revenue,total_orders,revenue_change_vs_prev_month,revenue_growth_pct
2009-12,798118.53,1666,,
2010-01,621263.43,1085,-176855.1,-22.16
2010-02,537926.69,1189,-83336.74,-13.41
2010-03,761748.53,1647,223821.84,41.61
2010-04,646451.56,1435,-115296.97,-15.14
2010-05,643585.64,1484,-2865.92,-0.44
2010-06,697382.32,1615,53796.68,8.36
2010-07,633079.42,1507,-64302.9,-9.22
2010-08,674192.89,1402,41113.47,6.49
2010-09,869277.16,1789,195084.27,28.94
2010-10,1094563.63,2244,225286.47,25.92
2010-11,1429751.84,2719,335188.21,30.62
2010-12,775714.95,1550,-654036.89,-45.74
2011-01,670439.46,1081,-105275.49,-13.57
2011-02,507866.54,1093,-162572.92,-24.25
2011-03,689841.84,1440,181975.3,35.83
2011-04,515469.66,1235,-174372.18,-25.28
2011-05,740036.33,1668,224566.67,43.57
2011-06,737683.99,1525,-2352.34,-0.32
2011-07,688252.67,1452,-49431.32,-6.7
2011-08,735370.22,1340,47117.55,6.85
2011-09,1028345.38,1818,292975.16,39.84
2011-10,1103330.92,2005,74985.54,7.29
2011-11,1452115.98,2751,348785.06,31.61
2011-12,614499.25,816,-837616.73,-57.68
