description,stock_code,units_sold,units_cancelled,cancellation_rate_pct
WORLD WAR 2 GLIDERS ASSTD DESIGNS,84077,105185,1680,1.57
JUMBO BAG RED RETROSPOT,85099B,93436,1213,1.28
WHITE HANGING HEART T-LIGHT HOLDER,85123A,91814,3631,3.80
PACK OF 72 RETROSPOT CAKE CASES,21212,89850,1014,1.12
ASSORTED COLOUR BIRD ORNAMENT,84879,78234,479,0.61
MEDIUM CERAMIC TOP STORAGE JAR,23166,77916,74494,48.88
SMALL POPCORN HOLDER,22197,76944,804,1.03
BROCADE RING PURSE,17003,70082,739,1.04
PACK OF 60 PINK PAISLEY CAKE CASES,21977,54592,219,0.40
60 TEATIME FAIRY CAKE CASES,84991,52828,326,0.61
MINI PAINT SET VINTAGE,22492,42695,281,0.65
ASSORTED COLOURS SILK FAN,15036,40994,917,2.19
COLOUR GLASS T-LIGHT HOLDER HANGING,84755,39259,722,1.81
PACK OF 72 SKULL CAKE CASES,21213,38530,89,0.23
LUNCH BAG RED RETROSPOT,20725,37750,908,2.35
JUMBO BAG PINK POLKADOT,22386,37338,481,1.27
VICTORIAN GLASS HANGING T-LIGHT,22178,37285,1007,2.63
PACK OF 12 LONDON TISSUES,22616,37084,72,0.19
JUMBO BAG STRAWBERRY,85099F,35842,283,0.78
RED  HARMONICA IN BOX,21915,35229,880,2.44
STRAWBERRY CERAMIC TRINKET BOX,21232,34935,804,2.25
72 SWEETHEART FAIRY CAKE CASES,84992,33936,410,1.19
GIRLS ALPHABET IRON ON PATCHES,84568,33217,865,2.54
HANGING JAM JAR T-LIGHT HOLDER,71459,31668,327,1.02
ANTIQUE SILVER TEA GLASS ETCHED,84946,31553,450,1.41
PACK OF 12 SUKI TISSUES,21982,31340,37,0.12
PACK OF 12 RED RETROSPOT TISSUES,21980,31066,156,0.50
PACK OF 60 DINOSAUR CAKE CASES,21975,30881,95,0.31
60 CAKE CASES VINTAGE CHRISTMAS,22952,30144,552,1.80
SET/20 RED RETROSPOT PAPER NAPKINS,21080,29494,653,2.17
SMALL CHINESE STYLE SCISSOR,16014,29354,0,0.00
JUMBO  BAG BAROQUE BLACK WHITE,85099C,28899,313,1.07
ROTATING SILVER ANGELS T-LIGHT HLDR,84347,28606,9370,24.67
PAPER CHAIN KIT 50'S CHRISTMAS,22086,28380,470,1.63
RABBIT NIGHT LIGHT,23084,27153,108,0.40
RED TOADSTOOL LED NIGHT LIGHT,21731,27102,978,3.48
PLACE SETTING WHITE HEART,22151,27085,915,3.27
RED RETROSPOT WRAP,21498,26672,100,0.37
HEART OF WICKER SMALL,22469,26193,281,1.06
JUMBO STORAGE BAG SUKI,21931,25970,390,1.48
PACK OF 12 WOODLAND TISSUES,21981,25859,31,0.12
RED RETROSPOT CHARLOTTE BAG,20724,25816,321,1.23
BLACK AND WHITE PAISLEY FLOWER MUG,37410,25685,6,0.02
LUNCH BAG  BLACK SKULL.,20727,25392,1201,4.52
HANGING HEART ZINC T-LIGHT HOLDER,84970S,25389,125,0.49
PACK OF 12 PINK PAISLEY TISSUES,21984,25150,108,0.43
VINTAGE SNAP CARDS,21790,25120,203,0.80
PACK OF 12 HEARTS DESIGN TISSUES,21985,24766,60,0.24
"ASSORTED FLOWER COLOUR ""LEIS""",84212,24665,72,0.29
JUMBO SHOPPER VINTAGE RED PAISLEY,22411,24295,429,1.74
PLEASE ONE PERSON METAL SIGN,21181,24166,114,0.47
REGENCY CAKESTAND 3 TIER,22423,24124,1450,5.67
JUMBO BAG PINK VINTAGE PAISLEY,21929,24108,272,1.12
LUNCH BAG SUKI  DESIGN,22383,23871,178,0.74
PARTY BUNTING,47566,23460,276,1.16
LUNCH BAG CARS BLUE,20728,23304,1139,4.66
JUMBO BAG SCANDINAVIAN PAISLEY,21928,23112,295,1.26
ASSTD DESIGN BUBBLE GUM RING,84270,22410,1740,7.20
MULTI COLOUR SILVER T-LIGHT HOLDER,84945,21125,155,0.73
LUNCH BAG WOODLAND,20726,20916,1015,4.63
PACK OF 60 SPACEBOY CAKE CASES,22417,20867,114,0.54
DISCO BALL CHRISTMAS DECORATION,20668,20550,3,0.01
PINK BLUE FELT CRAFT TRINKET BOX,20971,20500,2571,11.14
SPACEBOY LUNCH BOX,22629,20271,71,0.35
LUNCH BAG PINK POLKADOT,22384,20247,284,1.38
GIN + TONIC DIET METAL SIGN,21175,20229,2035,9.14
PINK CREAM FELT CRAFT TRINKET BOX,20972,20064,1497,6.94
COOK WITH WINE METAL SIGN,21166,19652,558,2.76
JUMBO BAG VINTAGE DOILY,23203,19498,590,2.94
CHARLOTTE BAG SUKI DESIGN,22355,19483,185,0.94
LUNCH BAG SPACEBOY DESIGN,22382,19478,253,1.28
JUMBO BAG OWLS,20713,19463,252,1.28
ZINC METAL HEART DECORATION,84836,19328,102,0.52
GRAND CHOCOLATECANDLE,72741,19284,62,0.32
WOODLAND CHARLOTTE BAG,20719,19027,135,0.70
HANGING HEART JAR T-LIGHT HOLDER,84978,19012,361,1.86
SWEETHEART CERAMIC TRINKET BOX,21231,18488,323,1.72
BLACK RECORD COVER FRAME,21137,18417,23,0.12
BOYS ALPHABET IRON ON PATCHES,84598,18241,576,3.06
SET/5 RED RETROSPOT LID GLASS BOWLS,20914,18235,400,2.15
SET/6 RED SPOTTY PAPER PLATES,21094,17752,762,4.12
