stock_code,description,total_units_sold,total_revenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,106139,24445.61
85099B,JUMBO BAG RED WHITE SPOTTY,96757,180569.34
21212,PACK OF 72 RETRO SPOT CAKE CASES,94884,51825.15
85123A,WHITE HANGING HEART T-LIGHT HOLDER,94203,257724.71
22197,"POPCORN HOLDER , SMALL",88499,79520.2
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
84879,ASSORTED COLOUR BIRD ORNAMENT,80082,129324.49
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92
17003,BROCADE RING PURSE,70369,14766.42
21977,PACK OF 60 PINK PAISLEY CAKE CASES,56061,28081.73
84991,60 TEATIME FAIRY CAKE CASES,54028,27041.21
15036,ASSORTED COLOURS SILK FAN,44272,32967.03
22492,MINI PAINT SET VINTAGE,43546,27817.59
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40439,25205.13
20725,LUNCH BAG RED SPOTTY,40317,71106.29
21213,PACK OF 72 SKULL CAKE CASES,40263,21390.76
22178,VICTORIAN GLASS HANGING T-LIGHT,40081,52382.82
22386,JUMBO BAG PINK WITH WHITE SPOTS,39437,76324.62
22616,PACK OF 12 LONDON TISSUES,39147,12460.16
21232,STRAWBERRY CERAMIC TRINKET BOX,37997,49300.57
