customer_id,recency_days,frequency,monetary
18102,0,145,580987.04
14646,1,145,526751.52
14156,9,150,303609.17
14911,1,376,272801.15
17450,8,51,244784.25
13694,3,143,195640.69
17511,2,60,172132.87
16446,0,2,168472.5
16684,4,55,147142.77
12415,24,24,144033.37
15061,3,127,126387.57
15311,0,207,114671.42
13089,2,203,113416.91
16029,38,106,109620.87
17949,1,116,107833.48
12931,21,57,92347.34
14298,8,82,91194.49
15769,7,46,88612.52
12346,325,3,77352.96
13798,1,110,75428.87
15838,11,34,73205.5
17841,1,211,68519.95
16754,372,29,65500.07
14088,10,16,64036.8
16422,17,108,61728.87
17389,0,61,57215.33
13081,11,28,56838.37
16013,3,84,56078.44
14680,25,58,55688.5
13093,275,55,54144.25
14096,4,17,53258.43
17850,372,155,51208.87
13408,1,106,50174.78
13777,0,61,49638.26
12748,0,323,49564.28
17404,4,21,47638.12
13881,3,43,45179.1
15749,235,3,44534.3
16705,0,42,43515.05
15098,182,3,39916.5
15039,9,93,39141.48
14031,7,44,39019.51
17675,1,70,37642.48
17381,8,38,36398.65
12921,9,74,35233.24
12471,2,72,35140.99
17677,1,54,35058.46
13902,632,5,34023.26
13767,2,73,33903.57
16210,1,33,33730.97
16779,2,53,32809.03
12678,42,15,32595.18
15856,4,52,32274.69
14258,9,25,32051.34
17428,0,45,31466.76
14606,1,184,29648.75
12709,15,33,29571.76
13078,3,57,29018.06
13098,1,28,28882.44
17940,49,15,28438.93
14527,2,121,27191.1
12681,14,44,26936.76
16333,7,22,26626.8
15513,33,35,26437.05
17865,30,46,26310.09
18251,87,9,26278.86
13802,138,19,26259.11
17857,4,23,25769.54
12731,23,17,25631.71
14062,9,24,25585.65
12939,64,20,25264.8
14895,7,38,25119.54
15498,2,44,24972.86
16525,2,48,24151.3
13001,4,33,24042.65
17920,4,54,23569.88
15640,4,29,23459.51
12409,78,7,23419.29
16133,3,56,22992.26
14607,15,20,22575.13
15159,1,34,22116.73
13340,45,12,22100.56
12621,1,35,22097.2
12482,576,27,21941.72
14051,0,37,21770.98
16839,8,44,21758.25
12753,22,6,21429.39
15615,10,47,21373.97
13319,5,58,21323.22
12682,3,51,20736.22
14866,10,17,20700.04
14667,10,54,20359.59
15251,9,21,20324.54
12477,22,9,20276.37
17706,4,31,20272.15
17243,1,69,20184.68
18008,70,23,19759.08
17340,29,18,19617.95
16843,42,35,19571.43
17139,15,25,19566.76
12540,19,32,19250.49
14194,4,36,18670.59
13113,0,37,18230.07
12557,16,8,18096.14
16746,4,42,18045.05
17581,0,43,17951.17
12901,8,28,17654.54
17377,23,78,17639.23
14952,59,32,17629.35
16652,58,16,17550.39
15189,1,46,17524.38
18172,14,52,17467.24
12357,33,2,17437.66
16019,46,27,17329.16
17416,29,22,17298.45
15078,7,52,17276.73
15523,84,16,17259.19
13027,113,19,17239.2
15808,306,21,17180.25
15125,25,24,17024.87
16656,22,30,16833.17
12433,0,10,16794.14
17735,2,26,16790.33
14277,15,8,16789.16
16553,163,33,16584.01
12454,56,4,16459.78
15358,4,42,16425.86
14961,10,22,16410.15
13225,3,16,16260.07
16180,100,13,16249.87
