cohort_month,month_number,active_customers,cohort_size,retention_rate_pct
2009-12,0,951,951,100.0
2009-12,1,335,951,35.23
2009-12,2,317,951,33.33
2009-12,3,404,951,42.48
2009-12,4,360,951,37.85
2009-12,5,342,951,35.96
2009-12,6,358,951,37.64
2009-12,7,327,951,34.38
2009-12,8,321,951,33.75
2009-12,9,344,951,36.17
2009-12,10,401,951,42.17
2009-12,11,472,951,49.63
2009-12,12,358,951,37.64
2009-12,13,268,951,28.18
2009-12,14,232,951,24.4
2009-12,15,288,951,30.28
2009-12,16,250,951,26.29
2009-12,17,288,951,30.28
2009-12,18,270,951,28.39
2009-12,19,246,951,25.87
2009-12,20,242,951,25.45
2009-12,21,298,951,31.34
2009-12,22,289,951,30.39
2009-12,23,386,951,40.59
2009-12,24,187,951,19.66
2010-01,0,382,382,100.0
2010-01,1,79,382,20.68
2010-01,2,119,382,31.15
2010-01,3,117,382,30.63
2010-01,4,101,382,26.44
2010-01,5,115,382,30.1
2010-01,6,99,382,25.92
2010-01,7,88,382,23.04
2010-01,8,106,382,27.75
2010-01,9,121,382,31.68
2010-01,10,115,382,30.1
2010-01,11,66,382,17.28
2010-01,12,84,382,21.99
2010-01,13,67,382,17.54
2010-01,14,72,382,18.85
2010-01,15,57,382,14.92
2010-01,16,90,382,23.56
2010-01,17,75,382,19.63
2010-01,18,71,382,18.59
2010-01,19,75,382,19.63
2010-01,20,93,382,24.35
2010-01,21,74,382,19.37
2010-01,22,94,382,24.61
2010-01,23,21,382,5.5
2010-02,0,375,375,100.0
2010-02,1,88,375,23.47
2010-02,2,85,375,22.67
2010-02,3,110,375,29.33
2010-02,4,92,375,24.53
2010-02,5,74,375,19.73
2010-02,6,72,375,19.2
2010-02,7,108,375,28.8
2010-02,8,96,375,25.6
2010-02,9,104,375,27.73
2010-02,10,43,375,11.47
2010-02,11,47,375,12.53
2010-02,12,57,375,15.2
2010-02,13,66,375,17.6
2010-02,14,46,375,12.27
2010-02,15,75,375,20.0
2010-02,16,60,375,16.0
2010-02,17,61,375,16.27
2010-02,18,54,375,14.4
2010-02,19,86,375,22.93
2010-02,20,86,375,22.93
2010-02,21,62,375,16.53
2010-02,22,22,375,5.87
2010-03,0,440,440,100.0
2010-03,1,84,440,19.09
2010-03,2,102,440,23.18
2010-03,3,107,440,24.32
2010-03,4,102,440,23.18
2010-03,5,90,440,20.45
2010-03,6,108,440,24.55
2010-03,7,134,440,30.45
2010-03,8,122,440,27.73
2010-03,9,48,440,10.91
