cohort_month,cohort_size,customers_who_repeated,repeat_purchase_rate_pct
2009-12,951,862,90.64
2010-01,382,332,86.91
2010-02,375,315,84.0
2010-03,440,359,81.59
2010-04,293,226,77.13
2010-05,254,194,76.38
2010-06,267,195,73.03
2010-07,185,134,72.43
2010-08,162,110,67.9
2010-09,239,164,68.62
2010-10,375,239,63.73
2010-11,326,175,53.68
2010-12,76,42,55.26
2011-01,72,39,54.17
2011-02,125,73,58.4
2011-03,179,112,62.57
2011-04,106,63,59.43
2011-05,111,69,62.16
2011-06,108,62,57.41
2011-07,101,65,64.36
2011-08,106,61,57.55
2011-09,188,95,50.53
2011-10,221,83,37.56
2011-11,191,27,14.14
2011-12,28,0,0.0
